T,kT,dA,VdP,PV,wosc,wcom,Aosc,Acom,Afinite,Aref,Gsol
1000,0.08617333159341,46.02250842285109,0.6794759583222546,0.4009609775200682,17157720000000.0,347654200000.0,-6.110123557691576,-0.5766666772329934,0.0324912740887474,-5.500965606369835,-51.80198901002312
1040,0.0896202648571464,44.19645269164192,0.6642447144913989,0.4144582626034224,16861600000000.0,335757700000.0,-6.280013380405017,-0.577534323740677,0.0324912740887474,-5.669987782575593,-50.11622692610548
1080,0.0930671981208828,42.49582526210089,0.6504850006655531,0.418971750298784,16517930000000.0,322241400000.0,-6.454867397621628,-0.5784581012816329,0.0324912740887474,-5.843918022251248,-48.571256534718906
1120,0.0965141313846192,40.91350971690639,0.6474766941193012,0.4147909171622146,16142590000000.0,307742600000.0,-6.633026533568827,-0.579423786201093,0.0324912740887474,-6.021111473278987,-47.16730696714246
1000,0.08617333159341,46.02499448783741,0.6930385587203263,0.4071823111097798,17157720000000.0,485861500000.0,-6.110123557691576,-0.2932450467814647,0.0186438242952665,-5.798234686614845,-52.1090854220628
1040,0.0896202648571464,44.19659476062598,0.6534249155818507,0.4077822913635425,16861600000000.0,469235600000.0,-6.280013380405017,-0.2936892817933987,0.0186438242952665,-5.967680274316352,-50.40991765916064
1080,0.0930671981208828,42.49695974781961,0.6392755729920927,0.4118385142168402,16517930000000.0,450346100000.0,-6.454867397621628,-0.2941622558943682,0.0186438242952665,-6.142061317431994,-48.866458124026856
1120,0.0965141313846192,40.91434535886767,0.6238339825314131,0.4146986503062237,16142590000000.0,430083300000.0,-6.633026533568827,-0.2946566865731316,0.0186438242952665,-6.319726022700429,-47.443206713793295
1000,0.08617333159341,46.02522526525827,0.6821227606879529,0.4065812263788039,17157720000000.0,804830600000.0,-6.110123557691576,-0.1057641387215283,0.0078979863064349,-5.996461432663613,-52.29722823223104
1040,0.0896202648571464,44.19789733906826,0.6631955164855885,0.4132248604482703,16861600000000.0,777289900000.0,-6.280013380405017,-0.1059260319474518,0.0078979863064349,-6.166189362151131,-50.61405735725671
1080,0.0930671981208828,42.497176859572434,0.6519708832268635,0.413666446444365,16517930000000.0,745999300000.0,-6.454867397621628,-0.106098398602324,0.0078979863064349,-6.34087101271287,-49.07635230906781
1120,0.0965141313846192,40.914494810189424,0.6273956098656949,0.4152731957762238,16142590000000.0,712434000000.0,-6.633026533568827,-0.1062785847097452,0.0078979863064349,-6.518849962552648,-47.645467186831546
1000,0.08617333159341,46.0251326848084,0.67428733628801,0.4071724970578944,17157720000000.0,1173333000000.0,-6.110123557691576,-0.049374994306815,0.0041038930520208,-6.056644670332741,-52.34889219437125
1040,0.0896202648571464,44.19822331047745,0.6599394149184461,0.4128834505987602,16861600000000.0,1133182000000.0,-6.280013380405017,-0.0494511662910287,0.0041038930520208,-6.226458321061968,-50.67173759585911
1080,0.0930671981208828,42.49801094649973,0.6447316239680594,0.4113233576612687,16517930000000.0,1087565000000.0,-6.454867397621628,-0.0495322661025804,0.0041038930520208,-6.401231238467028,-49.13265045127355
1120,0.0965141313846192,40.91498614948878,0.63218257424681,0.4160474906255749,16142590000000.0,1038631000000.0,-6.633026533568827,-0.0496170450255508,0.0041038930520208,-6.579305595491256,-47.71042682860128
